id,p,percolation,blackCount,concentrationRate,averageBlackCellInRow,averageBlackCellInColumn,zeroRowCount,zeroColumnCount
439,0.9,false,1138,0.4552,22.76,22.76,1,0
440,0.9,false,1120,0.448,22.4,22.4,1,0
441,0.9,false,1124,0.4496,22.48,22.48,1,0
442,0.9,false,1150,0.46,23.0,23.0,3,0
443,0.9,false,1140,0.456,22.8,22.8,0,0
444,0.9,false,1142,0.4568,22.84,22.84,0,0
445,0.9,false,1158,0.4632,23.16,23.16,1,0
446,0.9,false,1133,0.4532,22.66,22.66,1,0
447,0.9,false,1108,0.4432,22.16,22.16,1,0
448,0.9,false,1108,0.4432,22.16,22.16,2,0
449,0.9,false,1118,0.4472,22.36,22.36,1,0
450,0.9,false,1082,0.4328,21.64,21.64,1,0
451,0.9,false,1102,0.4408,22.04,22.04,2,0
452,0.9,false,1141,0.4564,22.82,22.82,0,0
453,0.9,false,1109,0.4436,22.18,22.18,1,0
454,0.9,false,1134,0.4536,22.68,22.68,1,0
455,0.9,false,1134,0.4536,22.68,22.68,2,0
456,0.9,false,1110,0.444,22.2,22.2,2,0
457,0.9,false,1118,0.4472,22.36,22.36,0,0
458,0.9,false,1129,0.4516,22.58,22.58,0,0
459,0.9,false,1083,0.4332,21.66,21.66,2,0
460,0.9,false,1154,0.4616,23.08,23.08,1,0
461,0.9,false,1137,0.4548,22.74,22.74,1,0
462,0.9,false,1137,0.4548,22.74,22.74,2,0
463,0.9,false,1103,0.4412,22.06,22.06,2,0
464,0.9,false,1105,0.442,22.1,22.1,1,0
465,0.9,false,1086,0.4344,21.72,21.72,1,0
466,0.9,false,1122,0.4488,22.44,22.44,0,0
467,0.9,false,1097,0.4388,21.94,21.94,1,0
468,0.9,false,1159,0.4636,23.18,23.18,0,0
469,0.9,false,1086,0.4344,21.72,21.72,1,0
470,0.9,false,1140,0.456,22.8,22.8,1,0
471,0.9,false,1115,0.446,22.3,22.3,1,0
472,0.9,false,1116,0.4464,22.32,22.32,1,0
473,0.9,false,1153,0.4612,23.06,23.06,1,0
474,0.9,false,1109,0.4436,22.18,22.18,1,0
475,0.9,false,1113,0.4452,22.26,22.26,3,0
476,0.9,false,1116,0.4464,22.32,22.32,1,0
477,0.9,false,1115,0.446,22.3,22.3,1,0
478,0.9,false,1149,0.4596,22.98,22.98,1,0
479,0.9,false,1081,0.4324,21.62,21.62,2,0
480,0.9,false,1105,0.442,22.1,22.1,1,0
481,0.9,false,1084,0.4336,21.68,21.68,1,0
482,0.9,false,1097,0.4388,21.94,21.94,3,0
483,0.9,false,1122,0.4488,22.44,22.44,1,0
484,0.9,false,1152,0.4608,23.04,23.04,0,0
485,0.9,false,1135,0.454,22.7,22.7,1,0
486,0.9,false,1135,0.454,22.7,22.7,1,0
487,0.9,false,1119,0.4476,22.38,22.38,0,0
488,0.9,false,1151,0.4604,23.02,23.02,2,0
489,0.9,false,1095,0.438,21.9,21.9,2,0
490,0.9,false,1119,0.4476,22.38,22.38,0,0
491,0.9,false,1108,0.4432,22.16,22.16,1,0
492,0.9,false,1125,0.45,22.5,22.5,2,0
493,0.9,false,1146,0.4584,22.92,22.92,1,0
494,0.9,false,1103,0.4412,22.06,22.06,2,0
